nom.sg.,gen.sg.,dat.sg,dat.pl.,gloss
hals,halos,hali,halsi,salt
ojs,ojos,oji,ojsi,sheep
sus,suos,sui,susi,sow
klo:ps,klo:pos,klo:pi,klo:psi,thief
pʰle:ps,pʰle:bos,pʰle:bi,pʰle:psi,vein
kate:lips,kate:lipʰos,kate:lipʰi,kate:lipsi,upper story
pʰulaks,pʰulakos,pʰulaki,pʰulaksi,guard
ajks,ajgos,ajgi,ajksi,goat
salpiŋks,salpiŋgos,salpiŋgi,salpiŋksi,trumpet
onuks,onukʰos,onukʰi,onuksi,nail
tʰe:s,tʰe:tos ,tʰe:ti ,tʰe:si,serf
kʰaris,kʰaritos,kʰariti,kʰarisi,grace
elpis,elpidos,elpidi,elpisi,hope
korus,korutʰos,korutʰi,korusi,helmet
ri:s,ri:nos,ri:ni,ri:si,nose
delpʰi:s,delpʰi:nos,delpʰi:ni,delpʰi:si,porpoise
