form1,form2,form3,form4,gloss
kalap,kalabban,kalapto:l,kalapnak,hat
ku:t,ku:dban,ku:tto:l,ku:tnak,well
ʒa:k,ʒa:gban,ʒa:kto:l,ʒa:knak,sack
re:s,re:zben,re:stø:l,re:snek,part
ʃro:f ,ʃro:vban ,ʃro:fto:l ,ʃro:fnak,screw
laka:ʃ,laka:ʒban,laka:ʃto:l,laka:ʃnak,apartment
ketreʦ,ketreʣben,ketreʦtø:l,ketreʦnek,cage
test,tezdben,testtø:l,testnek,bodj
rab,rabban,rapto:l,rabnak,prisoner
ka:d,ka:dban,ka:tto:l,ka:dnak,tub
meleg,melegben,melektø:l,melegnek,warm
vi:z,vi:zben,vi:stø:l,vi:znek,water
vara:ʒ,vara:ʒban,vara:ʃto:l,vara:ʒnak,magic
a:gʲ,a:gʲban,a:kʲto:l,a:gʲnak,bed
sem,semben,semtø:l,semnek,eje
bün,bünben,büntø:l,bünnek,crime
toroɲ,toroɲban,toroɲto:l,toroɲnak,tower
fal,falban,falto:l,falnak,wall
ø:r,ø:rben,ø:rtø:l,ø:rnek,guard
sa:j,sa:jban,sa:jto:l,sa:jnak,mouth
