form1,form2,form3,form4,form5,gloss
ʧita,ʧitwa,ʧitika,ʧitila,ʧitana,do
tula,tulwa,tulika,tulila,tulana,dig
ʧeta,ʧetwa,ʧeteka,ʧetela,ʧetana,spy
soŋka,soŋkwa,soŋkeka,soŋkela,soŋkana,pay tax
pata,patwa,patika,patila,patana,scold
fisa,fiswa,fiʃika,fiʃila,fisana,hide
ʧesa,ʧeswa,ʧeseka,ʧesela,ʧesana,cut
kosa,koswa,koseka,kosela,kosana,be strong
lasa,laswa,laʃika,laʃila,lasana,wound
masa,maswa,maʃika,maʃila,masana,plaster
ʃika,ʃikwa,ʃiʧika,ʃiʧila,ʃikana,bury
fuka,fukwa,fuʧika,fuʧila,fukana,creep
seka,sekwa,sekeka,sekela,sekana,laugh at
poka,pokwa,pokeka,pokela,pokana,receive
kaka,kakwa,kaʧika,kaʧila,kakana,tie
ima,imwa,imika,imina,imana,rise
puma,pumwa,pumika,pumina,pumana,flog
mena,menwa,meneka,menena,menana,grow
fweɲa,fweɲwa,fweɲeka,fweɲena,fweɲana,scratch
pona,ponwa,poneka,ponena,ponana,fall
ŋaŋa,ŋaŋwa,ŋaŋika,ŋaŋina,ŋaŋana,snigger
