form1,form2,form3,gloss
amáŋga,amíle,áma,move
taváŋga,tavíle,táva,wrap
akáŋga,akíle,áka,hunt
patáŋga,patíle,póta,twist
tatáŋga,tatíle,tóta,sew
dabáŋga,dabíle,dóba,get tired
aváŋga,avíle,óva,miss
amáŋga,amíle,óma,pierce
tapáŋga,tapíle,tépa,bend
patáŋga,patíle,péta,separate
aváŋga,avíle,éva,separate
babáŋga,babíle,béba,hold like a babj
utáŋga,utíle,úta,smoke
lukáŋga,lukíle,lúka,plait
lumáŋga,lumíle,lúma,bite
uŋgáŋga,uŋgíle,úŋga,tie
iváŋga,ivíle,íva,steal
pitáŋga,pitíle,píta,pass
imbáŋga,imbíle,ímba,dig
limáŋga,limíle,líma,cultivate
