unsuffixed,suffixed,gloss
sveteɾ,svetɾ+ɨ,sweater
dizel,dizl+a,diesel; car
kopeɾ,kopɾ+u,fennel
vojen,vojn+a,war
dʲabew,dʲabw+a,devil
peɾew,peɾw+a,pearl
knebel,knebl+a,gag
den,dn+o,bottom
sosen,sosn+a,pine
mex,mx+u,moss
vʲadeɾ,vʲadɾ+o,pail
len,ln+u,flax
bimbeɾ,bimbɾ+u,moonshine
veʃ,vʃ+ɨ,louse
holendeɾ,holendɾ+a,Dutchman
wes,wz+a,tear
kalibeɾ,kalibɾ+a,caliber
tew,tw+o,background
meandeɾ,meandɾ+a,meander
sen,sn+u,dream
ɾobeɾ,ɾobɾ+em,rubber
lef,lv+a,lion
vihaisteɾ,vihaistɾ+u,thingummy
kref,kɾv+i,blood
kɾateɾ,kɾateɾ+ɨ,crater
kɾet,kɾet+a,mole
oɾdeɾ,oɾdeɾ+u,order
zlef,zlev+em,sink
teɾen,teɾen+u,terrain
tɕenʲ,tɕenʲ+a,shadow
papʲeɾ,papʲeɾ+u,paper
ʃmeɾ,ʃmeɾ+u,rustle
numeɾ,numeɾ+u,number
bʲes,bʲes+a,devil
lideɾ,lideɾ+a,leader
ɾen,ɾen+a,reindeer
vapʲeɲ,vapʲeɲ+a,limestone
seɾ,seɾ+a,cheese
skalpel,skalpel+a,scalpel
ʃef,ʃef+a,boss
karmel,karmel+u,caramel
kɾes,kɾes+u,end
basen,basen+u,basin
ʒeɾ,ʒeɾ+u,food
omen,omen+u,omen
skeʧ,skeʧ+u,sketch
jeɕotɾ,jeɕotɾ+a,sturgeon
vʲatɾ,vʲatɾ+u,wind; gale
konstabl,konstabl+a,constable
litɾ,litɾ+a,liter
katedɾ,katedɾ+a,cathedral
muʃtɾ,muʃtɾ+a,drill
alɡebɾ,alɡebɾ+a,algebra
ʦedɾ,ʦedɾ+u,cedar
kombajn,kombajn+a,combine
zebɾ,zebɾ+a,zebra
teatɾ,teatɾ+u,theater
filtɾ,filtɾ+a,filter
tɕ’vikw,tɕ’vikw+a,re
beet,sauce’,ʃɨfɾ,ʃɨfɾ+u,cipher; code
metɾ,metɾ+a,meter
blizn,blizn+a,scar
miɕl,miɕl+ax,thought
hɨmn,hɨmn+u,hymn
