form1,form2,form3,gloss
dɑːr,dɑːrtɑ,dɑːro,house
ɡeːs,ɡeːstɑ,ɡeːso,side
luɡ,luɡtɑ,luɣo,leg
nɑːɡ,nɑːɡtɑ,nɑːɣo,woman
tib,tibtɑ,tiβo,pestle
sɑb,sɑbtɑ,sɑβo,outcast
bɑd,bɑdɑ,bɑðo,sea
ʕid,ʕidɑ,ʕiðo,person
feːɖ,feːɖɑ,feːʐo,rib
ul,ultɑ,ulo,stick
bil,biltɑ,bilo,month
lɑːn,lɑːntɑ,lɑːmo,branch
dɑːn,dɑːntɑ,dɑːno,riverbank
sun,suntɑ,sumo,poison
dɑn,dɑntɑ,dɑno,affair
sɑːn,sɑːntɑ,sɑːno,hide
sin,sintɑ,simo,hip
niriɡ,niriɡtɑ,nirɡo,baby female camel
ɡɑβɑɖ,ɡɑβɑɖɑ,ɡɑbɖo,girl
ɡɑʕɑn,ɡɑʕɑntɑ,ɡɑʕmo,arm
hoɣol,hoɣoltɑ,hoɡlo,downpour
bɑɣɑl,bɑɣɑltɑ,bɑɡlo,mule
wɑɦɑr,wɑɦɑrtɑ,wɑɦɑro,female kid
kefed,kefedɑ,kefeðo,pan
ʕilin,ʕilintɑ,ʕilino,female dwarf
bohol,boholtɑ,boholo,hole
